"","prolific_id","oer_1","oer_2","oer_3"
"59",59,"Well sweetie, Im proud of you for trying your best because at the end of the day that is all that matters. I would never be upset with you as long as you did try. You can always improve. Lets maybe try speaking with your teacher to possible give you some better understanding of the material that was confusing for you.","I would think that my child needs more help in math class.","I wouldnt feel disappointed or anything. I dont believe in punishing my child for misunderstanding some things. I just feel that my child can learn from his mistakes and needs to ask for help more often."
"60",60,"I would let my child know that it was okay, and to offer help with the questions that were confusing. I would never give my child a hard time for a low grade, I would just encourage them that they'll do better on the next one. I would let them know that I would hep them in any way that I can.","I would think that maybe there was something my child was solving the question, maybe with a wrong formula, and didn't realize it, along with not understanding some of the questions.","I would not be angry, everyone makes a bad grade at least once in their life, and I would never make my child feel bad for something like that. I feel as if I could offer help to my child to help them better understand the course material."
"61",61,"Encourage them to reach out if needed for help to understand where the confusion came from - why did they think they knew it so well?","I would feel sad that they felt so confident when that was incorrect","Upset for them. Hopeful that since they were enjoying it they will continue to work at it."
"62",62,"Chill, next time you will do better","same what i said - i say what i think","Neutral, everyone was a kid a know how it feels to get bad grade"
"63",63,"I would tell him that math is a difficult subject and that I had trouble with it too growing up.  I would then offer him help from myself and his dad so that he won’t find it as challenging in the future.  I think if we worked with him, we could help him to learn it better.","I’m disappointed he didn’t score higher.  I’d like to work with him myself to see where his problem areas were at and try to help him with them.","I would feel disappointed, but hopeful that we can turn it around in the future."
"64",64,"I’d ask them if they know what happened and encourage them to talk to the teacher if they don’t so they can be better equipped for the next exam","I’d think the teacher might be pushing them","Frustrated for my child"
"65",65,"Why do you think you got this grade? Is there something you could’ve done differently to get a better grade?","They must have miss interpreted the questions or did not complete a section","Like I didn’t do enough to help them study"
"66",66,"It’s okay baby. Let’s see what you missed and use this to learn from.","I’d wonder what happened.","I would feel trrrible."
"67",67,"I would ask my child to please tell me how math class is doing. I need to know what my child understands and I need to speak with the teacher to see what we can do.","I would feel a little anxious and tense I really don't want my child to struggle. I am thinking that I need to help in every way possible.","I would feel a little down on myself as a parent. I would feel like I am doing something wrong. I really want to help  my child."
"68",68,"I would ask my child if they would like to study more or do things differently before the next test.","On one occasion I would not overthink it. I would see if I could learn about how my child handles their performance relative to their expectations.","Sad for my child, ready to see how we can improve"
"69",69,"What happened? I thought you said you did okay! Did you get nervous during the test? There must have been some kind of mistake.","I would try to figure out what happened, to see if it's a problem with my child's learning or if it was a mistake on the teacher or test's part. I would wonder if the teacher was actually teaching adequately for the material that was on the test.","I would feel stressed and anxious, and worried about my child's ability to pass the class, and how it would affect her ability to get into the next grade."
"70",70,"I would be frustrated, so I would take time to myself to calm down. Then I would go over the test w my kid, and first ask if there was anything in particular they liked. Then point out what they did good at. Then, I would ask what they felt was hardest for them. Next, I would go over the test a little at a time with them and focus on struggle areas so we can learn together why it was hard.","I would immediately knee jerk think my kid hadn't tried. Fucked, I know, I'm trying to work past it. Then I would try to figure out if my kid really thought things went okay, or if they felt they had to say that.","I would feel immediately like I had fucked up somehow like I wasn't paying attention enough w my kid to know they were struggling."
"71",71,"I would let them know that it's okay as it is the first test at the beginning of the year.","It isn't the biggest deal. Their average will be able to change as long as they put in the effort. This low mark will allow them to improve in the future by using different studying strategies.","I wouldn't be too upset as it is the first test of the year in a new math class. I would make sure that they know what they're doing in class and figure out what went wrong."
"72",72,"I would tell her that is okay, and let her know she is learning. That is the reason she went to school in the first place to learn new things, challenges, etc learning is a process, not a by-product.","I wouldn't think anything different, because as a parent and fortunately as a teacher I know her result couldn't define her ability.","I might feel determined, make plans to help her, and show her the same support I do every day."
"73",73,"We would talk about how it takes a lot of practice to do things better. I would see if my child is open to me practicing with them and trying to get better.","I would feel disappointed that they dont yet understand the material. I would worry my son wouldnt like math in the future.","I would worry my son wouldnt like math in the future."
"74",74,"I will stay calm and nicely ask him if he studied well and if there was any problem before the exam, will revise with him the material themes to make sure he understands and likes them or not.","I would think perhaps he was stressed out or distracted by other things or probably he likes the material but he's still not good enough at it and needs to do more efforts.","Not worried."
"75",75,"I’d initially feel a little disappointed. I’d ask him if he felt that he studied enough and used his strategies during the test. Id ask if he rushed and when he planned to retake or correct the test. I’d let him know that sometimes we need to do really poorly at something to learn how to do things. Just like on his bike.","I’d be sad for him and want to try to immediately fix things for him.","I would feel like I could have done more to help him study or help him with his homework."
"76",76,"Better don't let youwin by proud, don't undestimate an exam, study more and better luck next time","He was too overtrusted","Maybe i can help him more"
"77",77,"I would motivate him, by saying it isn't the end of the world, maybe the comprehension was a problem, maybe he was stressed, or maybe he wasn't so aware of the material as he tought.
There's more tests in the future and he can definitely do better next time.","As a first test I wouldn't be very preoccupied, I should pay more attention to study method and how deep he knows the materials.","Motivated to understand what went wrong, and help him more."
"78",78,"I would go to meet the teacher at school for an explanation","I would think the teacher does not like my child","Very sad and hurt"
"79",79,"""Next time you need to pull up your socks so to make it to the next grade. You do not need to feel discouraged. This things happen"".","""What happened just need to help him more""","Worried"
"80",80,"I would say to him that it's ok to get a low note sometimes but that I will expect him to study more for next exams.","I mean if he likes the subject, the teacher and he also did study a reasonable amount of time, I won't be angry at all, because you can get confused in a test sometimes, it happened to me a couple of times when I had his age.","A little disappointed with myself that I didn't help my son get a better grade, but sometimes it's good to fail to pay attention to mistakes and do better next time."
"81",81,"I would be supportive because I knew they enjoyed the subject and encourage them to not let this get them down and away their opinion of the subject.","I think that testing can often be ineffective on showing ones skill level.","I would feel sad and disappointed for my child who now doesn’t know how to feel about the subject they previously enjoyed."
"82",82,"It's ok. Let's look at the items that you missed and review them.","I would think that I needed to spend more time reviewing the chapter with them.","Fine. I know that my child has a growth mindset and grit."
"83",83,"let’s ask your teacher why you were wrong & how to fix it. ask about tutoring or one on one options","it’s harder than they thought","upset"
"84",84,"
I would say that they are just learning and it takes time to learn new things and to keep trying, and ask for help from the teacher","I would think the same thing that I said","I would feel a little bad but also have confidence that theyll get better with practice"
"85",85,"I'd say maybe they should have studied harder or verified which information was going to be on the test prior.","I would think that they either didn't study hard enough or that the teachers wording on the test was confusing to them.","Disappointed"
"86",86,"Tell her she should study the questions that she got wrong to ensure an understanding of the concepts.","I would think maybe she didn't study enough or ask for help when she didn't understand the subject matter.","I would worry that the F would impact her final grade."
"87",87,"Probably the supportive - aww better luck next time. Just keep studying.","What can I do to help.","Maybe slightly disappointed."
"88",88,"I would look the test over with my child, and see what happened and what mistakes were made, then try to learn from there and move forward.","That as long as my child did their best, I'm proud of them, but I would be confused as to how they thought they did well but ended up with a failing grade.","I would feel bad for my child, more because of how badly they might feel right now, not because of the actual failing grade"
"89",89,"I would ask him if he thinks he gave it his all or if he thinks he could have prepared more. I would let him know I’m not mad and that we will get better together. I would tell him that as long as he’s trying his best to never get discouraged","I would be sad and nervous for his future in that class and for his self esteem","I would be nervous about the future and how we’re going to remedy the situation"
"90",90,"I would sit them down and discuss the score with them and reassure them that they are not a failure and they will only continue to get better, the more they learn.","Immediately following the knowledge of the score, I would internally be a little upset, but I know that no one is perfect and they will comprehend the material after some time.","At first, I might struggle a little and feel as it I'm failing my child, but in reality, no one usually gets a perfect score the first time they are tested on new material."
"91",91,"That it was okay that the F does not determine how well you know math but let’s practice more at home to prepare you for the next test","I would be curious on how truly comfortable my child was in his math class with the material given and if he or she felt comfortable enough to ask questions when needed","I would feel like I should do more at home practice and they today math overview so make sure that my child wasn’t falling behind in class due to not understanding the material being taught in the class"
"92",92,"Wow! Though the result was unexpectedly bad, I need to find out what could have been the actual cause for failure.","I would think positively and advise him/her on how to perform better next time.","A bit disappointed."
"93",93,"Would you like some help?","She may run into some kind of bottle neck.","I will worry about her not being able to catch up and eventually giving up."
"94",94,"Don't worry too much about it. You should focus on math more and also I'll help you out more.","It's not a big deal, I used to fail quite a bit in math myself and know you can turn it aroud with some work.","I need to check out how often my child works on improving and learning math."
"95",95,"I would tell my child to read well so that he can improve later on and he should never be scolded. He will definitely get good results if he explains it nicely.","I think I will explain it to him in a very nice way and tell him to concentrate on his studies.","I feel a little bad but I will feel much better if I improve in the future."
"96",96,"You should put more effort on the subject","She got too excited and didn't focus","A but disappointed"
"97",97,"what went wrong? didn't you study enough? but don't worry there's always next time.","that maybe s/he needs to practice more, and get a tutor to help them.","disappointed and sad."
"98",98,"I would tell her that she really needs to turn her grades around and that if she doesn't understand thr material that I'd be happy to help her.","I would hope it would just be a one off and that with work she would improve.","Not terribly bad at first. But if it continued I'd definitely be concerned."
"99",99,"That its OK to fail, it just mean you need to work harder and reevaluate your position. See what you did wrong and try to become better.Don`t give up, keep working. Only through failure we can learn.","that he may looses motivation and gives up also that maybe he is not very good at the particular subject but he can improve by putting more effort.","worried alert"
"100",100,"613c006415e98728127c6085","I would think that it is necessary to make him more willing to increase the grades and practice more the weak points of his knowledge in mathematics","
I would feel that it is a moment of opportunity"
"101",101,"I would talk with him but with patience, and I would say that it´s okay but he has to improve his skills in math.","I have always thought that an exam doesn´t determine how intelligent you are.","I feel normal because a qualification doesn´t determine my child´s intelligence."
"102",102,"I would tell him not to worry, that he will have more opportunities to show how hard he tries and I would tell him that anything he does not understand, ask me to explain.","That he really cares to show that he studied but that it was not the result he expected","Proud that he studied but sad that it was not the result he expected"
"103",103,"I would try to comfort her and let her know that some people aren't good at taking tests, and struggle even when they know the material.","I would help her study the next time to make sure she's studying efficiently.","I works feel hopeful. There's no sense lecturing or making her feel bad when she tried and has likely already beat herself up enough."
"104",104,"First I will tell my child that he was good and he tried his best and that he must keep up the good things that he did.
secondly, I will tell him to focus more than before and that he must pay attention and read carefully before he answers every question and also to remind him that practice makes perfect.","I will think of some ideas that will improve his curriculum and how can I support him.","I will feel like I have to do something to Help."
"105",105,"I would say it's ok, especially if she had studied. I would also ask what she thought happened and what could she do differently for the next test.","I would think what did she do wrong to do so badly.","I would be upset."
"106",106,"You need to study the the equations more to see if you really know what you think you know and see where you made mistakes","I think that my child needs to make sure they really understand the work and figure out what they did wrong and figure out how to correct it","I would feel empathy for my child knowing they are probably upset for failing"
"107",107,"We would need to talk to the teacher to see what areas my child was weak in/got wrong. Then look for external support to mkae sure my child understood what was required and was able to improve. Discuss study habits and how to improve there as well.","Depends on the grade level and history of maths with the child. If still early enough I would think we have time to improve. If getting close to end of schooling, would worry about remaining time and look to do accelerated tutoring.","Fine, as long as the child is a decent person. Not everyone is good at maths and will have strengths in other areas to focus on."
"108",108,"Why did you get an F?","That they enjoy the class more than the actual lesson","Disappointed"
"109",109,"I would ask what they like about the class and how they are learning. I'd suggest exploring ways to better understand the subject of the method of teaching","Id be concerned the subject was too difficult","Like I failed to teach him good study habits.  ""mom guilt"""
"110",110,"You almost got 60 but why did you think it went ok with a low score like that? Tell me if you need help","I think either he doesnt care so he thinks his answer are ""ok"" or he doesn't actually know he has difficulties","I wish I could help him raise his score"
"111",111,"Do not give up. Study harder and you will get better results.","I think my child underestimate the difficulty of the subject","I would feel worried"
"112",112,"Whooo....We need to be more prepared for the next time.","54% means she understands we might need to work on concetration.","Feel okay but concerned"
"113",113,"This was your first attempt. We will arrange extra classes for your and be more consistent with practicing maths problems. You got this!","God help me.","Disappointed and worried at the same time."
"114",114,"Son, what happened? Let's check that test.

I would immediately look at the test and see what sections he scored the lowest and notice what they had in common. For example, are they mostly fractions, or divisions? What was the most common mistake and then go over with my child one of the questions and have him solve it with me.","I don't think my kid really understood what was going on. One thing is to believe they studied well, but more than likely I didn't supervise it or check their progress and just let him be on his own. His failure is probably my fault for not getting involved.","Badly, because this is something that could affect my child's self esteem while also proving I was just taking him at his word instead of getting involved in his learning."
"115",115,"This things baby. There’s no need to be ashamed of anything. Failing is not the end of anything, you just need to get back at it and work even harder to improve. I want you to accept the results and go back and work harder for the next test, baby.","I would think that my child is just a little behind in  understanding the subject and needs to work a little more harder to improve.","I would feel a little disappointed for not helping my child do her very best."
"116",116,"This literally just happened to me, only my child failed the entire first marking period. I told them it was okay, I'd seen them working hard on their homework and recognized their efforts and suggested they meet up with their teacher to get any needed help/form a game plan to continue. I also pointed out that things like homework especially (but also tests) are made for you to mess up on, so you can see where you've gone wrong and not understood something (and sometimes, if everyone borks a question, the teacher can see where they've gone wrong)","It's fine, everyone does poorly sometimes. Especially with the world as it currently is, there's a heck ton more stress than I ever had to deal with.","Like I've done my best supporting them, and helping them learn and grow from this."
"117",117,"I would tell her it's okay in life we will fail but that shouldn't stop us from chasing our dreams. And help her where she was wrong.","That she tried here best","Okay"
"118",118,"I would tell my child that everyone fails sometimes, but sometimes it’s best to study harder and try again","That she got confused and doubted herself","i would feel the same as before"
"119",119,"I would suggest that the child should maybe change their approach on the subject. I would also like the child to put in more effort on the school work.","The child took the subject too lightly and that is why he did not do well.","I would feel very disappointed towards his working rate and that he does not take his work that seriously. I would be disappointed s/he does not ask for clarification on what he does not understand."
