"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","DistributionChannel","UserLanguage","competence_1","competence_2","competence_3","competence_4","competence_DO_1","competence_DO_2","competence_DO_3","competence_DO_4","intelligence_1","intelligence_2","intelligence_3","intelligence_4","intelligence_DO_1","intelligence_DO_2","intelligence_DO_3","intelligence_DO_4","fid_manip_1","fid_manip_2","fid_manip_3","fid_manip_4","fid_manip_5","fid_manip_DO_1","fid_manip_DO_2","fid_manip_DO_3","fid_manip_DO_4","fid_manip_DO_5","fie_manip_1","fie_manip_2","fie_manip_3","fie_manip_4","fie_manip_5","fie_manip_DO_1","fie_manip_DO_2","fie_manip_DO_3","fie_manip_DO_4","fie_manip_DO_5","failure_1","failure_2","failure_3","failure_4","failure_5","failure_6","failure_DO_1","failure_DO_2","failure_DO_3","failure_DO_4","failure_DO_5","failure_DO_6","dem_childage","dem_childage_other","dem_education","dem_raceethnicity_1","dem_raceethnicity_2","dem_raceethnicity_3","dem_raceethnicity_4","dem_raceethnicity_5","dem_raceethnicity_6","dem_raceethnicity_7","dem_raceethnicity_8","dem_raceethnicity_7_TEXT","dem_gender_1","dem_gender_2","dem_gender_3","dem_gender_4","dem_gender_5","dem_gender_6","dem_gender_7","dem_gender_8","dem_gender_7_TEXT","debrief_q1","debrief_q2","debrief_q3","prolific_id","FL_8_DO_BiasedManipulation-FailureisDebilitating","FL_8_DO_BiasedManipulation-FailureisEnhancing"
"11",2021-11-20 02:26:36,2021-11-20 02:39:06,"IP Address",100,749,TRUE,2021-11-20 02:39:06,"anonymous","EN",4,3,3,2,3,2,1,4,2,2,5,5,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,5,5,2,1,4,3,5,5,6,2,2,2,3,2,1,5,4,6,7,"2","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Facing and elaborate failures during learning process for kids and parents.","No","NA",11,NA,1
"12",2021-11-20 02:15:57,2021-11-20 02:27:38,"IP Address",100,701,TRUE,2021-11-20 02:27:39,"anonymous","EN",5,5,2,4,4,2,3,1,2,3,5,4,2,4,1,3,4,4,4,4,4,3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,2,3,3,1,5,2,4,6,9,"12","Post-graduate degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"negativity or positivity of failure","No","NA",12,1,NA
"13",2021-11-20 02:29:30,2021-11-20 02:34:52,"IP Address",100,321,TRUE,2021-11-20 02:34:52,"anonymous","EN",4,5,4,5,4,1,3,2,4,5,4,3,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,1,4,2,3,3,4,4,2,2,3,6,3,4,2,1,5,6,"4","Post-graduate degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"On how we deal with failure and success and the relationship with childs","Not sure","NA",13,NA,1
"14",2021-11-20 04:16:54,2021-11-20 04:26:51,"IP Address",100,597,TRUE,2021-11-20 04:26:52,"anonymous","EN",6,6,6,6,3,4,1,2,1,1,5,6,1,3,4,2,4,4,4,4,2,5,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,1,1,2,3,1,6,4,5,26,"30","A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"I have no idea","No","NA",14,1,NA
"15",2021-11-20 02:17:39,2021-11-20 02:32:46,"IP Address",100,907,TRUE,2021-11-20 02:32:46,"anonymous","EN",4,4,3,5,4,1,2,3,3,4,4,3,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,5,5,1,2,4,3,3,4,3,4,4,5,6,3,5,4,2,1,12,"10","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Finding out what parents think","Not sure","NA",15,NA,1
"16",2021-11-20 02:12:22,2021-11-20 02:40:49,"IP Address",100,1707,TRUE,2021-11-20 02:40:50,"anonymous","EN",5,4,4,5,3,4,1,2,2,2,4,4,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,5,1,2,4,3,4,5,5,5,4,5,1,5,4,6,3,2,9,"12","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Assessing if people think failure can be a positive thing","No","NA",16,NA,1
"17",2021-11-20 02:26:00,2021-11-20 02:32:37,"IP Address",100,397,TRUE,2021-11-20 02:32:38,"anonymous","EN",6,6,6,6,1,2,4,3,4,4,3,3,2,4,3,1,4,4,4,4,3,4,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,2,3,5,3,1,4,6,2,14,NA,"College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"how people react to failure","No","NA",17,1,NA
"18",2021-11-20 04:26:25,2021-11-20 04:31:09,"IP Address",100,284,TRUE,2021-11-20 04:31:09,"anonymous","EN",5,4,3,6,3,2,1,4,3,4,3,3,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,4,4,2,3,1,5,3,4,3,4,3,2,2,4,3,1,5,6,11,"6","A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"Parents expectations of their children versus their ability to perform under pressure.","Not sure","NA",18,NA,1
"19",2021-11-20 02:24:17,2021-11-20 02:46:33,"IP Address",100,1336,TRUE,2021-11-20 02:46:34,"anonymous","EN",5,4,4,6,2,1,4,3,2,2,5,5,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,6,1,5,4,3,2,5,6,5,1,2,2,1,6,3,2,4,5,7,NA,"Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"… this experiment looked at how a parent would perceive failure with their child or how they perceive failure in life. In my opinion failure should be seen as a positive approach to increasing ones learning and knowledge and this starts from a young age. Success is often achieved through failure and this experiment highlights how as a parent we respond some may percieve this as a disappointment others may see it as the catalyst to success.

An experiment on how failure is perceived.","Yes","Yes",19,NA,1
"20",2021-11-20 02:19:45,2021-11-20 02:26:20,"IP Address",100,394,TRUE,2021-11-20 02:26:20,"anonymous","EN",4,6,6,6,3,1,4,2,6,6,4,2,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,6,4,5,2,1,3,4,5,5,2,2,2,1,2,6,4,5,3,25,"28","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Failure as a tool for life experience/growth","No","NA",20,NA,1
"21",2021-11-20 02:21:02,2021-11-20 02:27:35,"IP Address",100,392,TRUE,2021-11-20 02:27:35,"anonymous","EN",4,4,5,5,3,2,1,4,4,4,3,3,3,2,1,4,4,4,3,4,4,2,4,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,3,3,2,4,5,6,3,1,2,13,NA,"A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"To gauge the parents reaction and thoughts about negative outcomes.","Yes","Yes",21,1,NA
"22",2021-11-20 04:26:06,2021-11-20 04:31:03,"IP Address",100,297,TRUE,2021-11-20 04:31:03,"anonymous","EN",3,4,6,6,1,4,2,3,3,4,3,4,1,2,3,4,4,5,5,3,5,1,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,3,3,4,5,6,2,4,3,1,5,"3 and 1","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"how failure can become overcome","Not sure","NA",22,1,NA
"23",2021-11-20 04:27:57,2021-11-20 04:30:47,"IP Address",100,169,TRUE,2021-11-20 04:30:48,"anonymous","EN",2,5,4,4,2,1,3,4,4,5,3,2,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,1,3,4,2,4,4,4,3,3,4,6,4,2,3,5,1,8,NA,"Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"im not sure","Yes","Not sure",23,NA,1
"24",2021-11-20 02:24:32,2021-11-20 02:31:54,"IP Address",100,441,TRUE,2021-11-20 02:31:54,"anonymous","EN",6,6,5,6,1,4,2,3,5,5,2,2,2,1,3,4,3,6,4,5,5,1,5,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,5,6,5,2,1,6,3,4,14,"18","Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Not sure","No","NA",24,1,NA
"25",2021-11-20 03:53:02,2021-11-20 04:00:24,"IP Address",100,441,TRUE,2021-11-20 04:00:24,"anonymous","EN",6,6,6,6,2,1,4,3,2,2,5,5,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,3,2,1,5,4,5,6,6,4,1,3,4,5,3,1,6,2,13,"15,17","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"How people look at failure, either in a positive way or a negative way.","No","NA",25,NA,1
"26",2021-11-20 02:08:08,2021-11-20 02:46:41,"IP Address",100,2313,TRUE,2021-11-20 02:46:41,"anonymous","EN",6,5,4,5,1,3,2,4,4,4,6,2,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,4,1,2,5,3,3,4,5,4,3,4,6,3,2,5,4,1,7,"3","Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"No idea","Yes","Yes",26,NA,1
"27",2021-11-20 02:20:48,2021-11-20 02:33:01,"IP Address",100,732,TRUE,2021-11-20 02:33:01,"anonymous","EN",6,6,5,6,3,2,4,1,6,6,2,1,3,2,1,4,5,5,2,3,4,3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,1,2,1,5,1,3,6,2,4,10,"8 and 7","Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"The psychological effects of failure.","No","NA",27,1,NA
"28",2021-11-20 02:13:28,2021-11-20 02:24:15,"IP Address",100,647,TRUE,2021-11-20 02:24:15,"anonymous","EN",4,4,5,4,1,2,4,3,2,2,5,5,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,5,1,5,4,2,3,5,5,5,2,1,2,5,1,6,2,4,3,5,"1","Post-graduate degree",NA,NA,NA,NA,NA,NA,"Fill-In Option:",NA,"middle eastern",NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Understanding how parents or individuals facilitate the idea of failure, and what it means to them.","Yes","Yes",28,NA,1
"29",2021-11-20 04:06:30,2021-11-20 04:17:27,"IP Address",100,656,TRUE,2021-11-20 04:17:27,"anonymous","EN",6,5,5,6,4,3,1,2,3,4,4,5,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,1,5,3,2,4,6,5,4,4,4,2,1,4,3,2,5,6,17,"23","A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"How parents react to their child's failure; how a parent handles their personal failure can affect their children as well.","Yes","Yes",29,NA,1
"30",2021-11-20 04:25:47,2021-11-20 04:49:04,"IP Address",100,1396,TRUE,2021-11-20 04:49:04,"anonymous","EN",5,5,4,5,1,3,4,2,3,4,4,4,3,1,4,2,4,4,4,4,2,1,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3,4,3,6,5,1,2,10,"7","College degree",NA,NA,"Asian",NA,NA,NA,NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"To see how parents see failure in terms of how it affects our children.","Not sure","NA",30,1,NA
"31",2021-11-20 02:19:26,2021-11-20 02:23:56,"IP Address",100,270,TRUE,2021-11-20 02:23:57,"anonymous","EN",6,5,5,5,2,3,1,4,3,2,5,5,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,3,4,1,5,2,5,5,5,2,2,2,5,1,2,4,3,6,14,NA,"A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Parents responses to their childs failure and overall thoughts on failure.","Yes","Yes",31,NA,1
"32",2021-11-20 03:37:01,2021-11-20 03:46:33,"IP Address",100,571,TRUE,2021-11-20 03:46:33,"anonymous","EN",5,5,6,4,3,2,1,4,2,3,4,5,4,2,3,1,4,2,3,4,4,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,2,3,5,6,1,3,4,2,14,"7","A high school degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"This experiment was probably about how parents react to the failing grades of their children. It is an interesting subject and there are so many ways to handle it. Thank you for the opportunity.","Not sure","NA",32,1,NA
"33",2021-11-20 04:19:11,2021-11-20 04:25:15,"IP Address",100,364,TRUE,2021-11-20 04:25:15,"anonymous","EN",6,6,5,6,3,4,1,2,5,5,5,2,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,2,4,3,1,5,5,4,4,2,2,2,2,6,4,3,5,1,11,"8 7 5","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"children's performance, failure, parents' reaction","Yes","Yes",33,NA,1
"34",2021-11-20 04:07:38,2021-11-20 04:12:59,"IP Address",100,321,TRUE,2021-11-20 04:12:59,"anonymous","EN",6,4,4,5,3,4,2,1,3,2,5,5,1,2,3,4,4,3,4,4,3,1,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,2,3,6,2,1,4,5,7,NA,"A high school degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"Perception","No","NA",34,1,NA
"35",2021-11-20 02:24:52,2021-11-20 02:32:36,"IP Address",100,463,TRUE,2021-11-20 02:32:37,"anonymous","EN",4,5,5,4,2,4,1,3,3,4,2,4,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,2,3,1,5,4,3,4,4,4,3,3,3,5,1,6,4,2,8,"3","College degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"effects of expectancy on learning strategies","No","NA",35,NA,1
"36",2021-11-20 02:15:23,2021-11-20 02:23:16,"IP Address",100,472,TRUE,2021-11-20 02:23:16,"anonymous","EN",2,4,2,5,2,1,3,4,3,5,4,5,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,5,5,1,2,3,4,3,4,4,5,4,4,5,4,6,3,2,1,6,"0","A high school degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"It was interesting","No","NA",36,NA,1
"37",2021-11-20 03:56:20,2021-11-20 04:01:23,"IP Address",100,303,TRUE,2021-11-20 04:01:24,"anonymous","EN",6,4,6,5,4,3,1,2,4,6,1,4,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,4,4,2,1,5,3,4,6,4,4,1,3,6,2,3,1,4,5,13,NA,"College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"not sure","No","NA",37,NA,1
"38",2021-11-20 02:22:25,2021-11-20 02:26:38,"IP Address",100,252,TRUE,2021-11-20 02:26:39,"anonymous","EN",3,4,4,5,2,1,3,4,2,4,5,5,3,1,4,2,5,4,4,4,5,5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,4,5,3,6,4,1,2,5,12,"4","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"About intelligence.","Yes","Yes",38,1,NA
"39",2021-11-20 02:15:12,2021-11-20 02:21:25,"IP Address",100,372,TRUE,2021-11-20 02:21:25,"anonymous","EN",4,4,4,4,4,3,1,2,3,6,4,4,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,3,2,4,5,1,5,5,6,2,2,1,6,3,5,1,2,4,17,"14","Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"finding out what parent's perception of their child's intelligence is and whether it can be changed due to using times of failure to learn and better prepare for the future","Yes","Yes",39,NA,1
"40",2021-11-20 02:07:13,2021-11-20 02:11:56,"IP Address",100,283,TRUE,2021-11-20 02:11:57,"anonymous","EN",5,2,4,3,2,3,4,1,1,2,3,5,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,6,3,1,2,5,3,4,2,4,4,5,3,3,2,4,6,1,3,5,10,NA,"College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"About how parents treat their children.","Yes","Yes",40,NA,1
"41",2021-11-20 02:17:48,2021-11-20 02:24:55,"IP Address",100,427,TRUE,2021-11-20 02:24:55,"anonymous","EN",1,1,1,1,3,4,2,1,1,2,5,5,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,6,3,5,1,4,2,5,5,4,2,2,3,1,4,6,3,2,5,2,NA,"Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"About how parents approach the education of their children, how they react to their academic results and maybe how that relates to the parent's own education.","Yes","Yes",41,NA,1
"42",2021-11-20 04:10:46,2021-11-20 04:15:58,"IP Address",100,312,TRUE,2021-11-20 04:15:59,"anonymous","EN",5,4,4,6,3,1,4,2,2,2,5,5,2,4,1,3,4,4,4,4,4,1,4,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,3,2,4,1,5,6,21,"38","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"I think it was about whether the parents attitude towards success and failure affects the child's performance.","Not sure","NA",42,1,NA
"43",2021-11-20 02:16:13,2021-11-20 02:24:39,"IP Address",100,506,TRUE,2021-11-20 02:24:39,"anonymous","EN",5,4,3,3,4,2,3,1,4,4,4,3,3,2,1,4,4,4,4,4,2,4,1,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,3,2,4,1,5,6,2,3,10,NA,"Post-graduate degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"This experiment is about the ability of parents to tolerate and manage the failures that our children have.","No","NA",43,1,NA
"44",2021-11-20 03:34:09,2021-11-20 03:41:56,"IP Address",100,467,TRUE,2021-11-20 03:41:57,"anonymous","EN",6,3,3,5,4,2,3,1,5,5,4,2,4,2,1,3,6,5,5,6,6,5,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,6,6,5,1,3,2,6,5,4,8,"6, 3","College degree",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Woman or female",NA,NA,NA,NA,NA,NA,NA,NA,"To see how we would react to our child failing and how we would feel about failure in general.","No","NA",44,1,NA
"45",2021-11-20 02:26:11,2021-11-20 02:41:49,"IP Address",100,937,TRUE,2021-11-20 02:41:49,"anonymous","EN",6,6,6,5,1,3,4,2,3,3,4,3,2,1,3,4,4,3,1,1,1,5,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,1,1,2,2,6,4,3,5,1,15,"18","Post-graduate degree","Hispanic, Latino, or Spanish origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man or male",NA,NA,NA,NA,NA,NA,NA,"Education and learning","Yes","Yes",45,1,NA
